Item,water,water,339.7839730047359,282.03070860108124
Item,trap,trap,235.63892000000007,150.86491000000038
Item,rabbitMeat,rabbitMeat,246.66051999999934,148.69151237501322
DynamicAnimal,rabbit,rabbitU,130.25855999999996,242.5855198109837
DynamicAnimal,bird,bird,511.73907999999983,226.56325062067444
DynamicAnimal,rabbit,rabbit,332.32748000000004,400.4642117167513
DynamicAnimal,bird,bird,326.73022000000014,503.19059260093434
Item,water,water,126.86925729527366,462.9325178075304
DynamicAnimal,bird,birdD,141.69975999999997,11.440005492419932
DynamicAnimal,rabbit,rabbit,533.6217000000003,479.25703837596024
Hunter,hunter,hunterD,415.18924999999996,117.66306000000041,30,0,56.45801225000004,47.19906049999999,35.19707500000004,0.30800001700000074
